rank,docid,score
1,888715,8.466517252400763
2,888650,8.465016270448103
3,888702,8.464918460154164
4,888700,8.464625061650977
5,888658,8.464614421064907
6,888714,8.4636887418738
7,888718,8.463655119536108
8,888686,8.463655119536108
9,888670,8.463655119536108
10,888657,8.463655119536108
11,888652,8.463655119536108
12,888674,8.463066194359945
13,888717,8.462968059117854
14,888709,8.462968059117854
15,888675,8.462968059117854
16,888656,8.462968059117854
17,61597,8.462968059117854
18,888660,8.462942495564233
19,888641,8.462771804875066
20,888704,8.462549329065219
21,888680,8.462451050986342
22,888666,8.462372266602381
23,888643,8.462281263984504
24,888688,8.462183172039193
25,888698,8.462156961681124
26,888672,8.462156961681124
27,888642,8.462156961681124
28,514408,8.462085085503567
29,888677,8.462057992838211
30,888654,8.462057992838211
31,368450,8.461987004377086
32,888708,8.461959741840337
33,888699,8.46179085834941
34,888683,8.46179085834941
35,471806,8.46179085834941
36,888694,8.461370349540655
37,888659,8.461370349540655
38,888644,8.461370349540655
39,144022,8.461300587902725
40,888667,8.461292873384082
41,888671,8.461202550030096
42,316035,8.459701462229349
43,888647,8.457165712068475
44,888663,8.456480356285885
45,888649,8.262464204708477
46,888692,8.002184023639712
47,888682,8.001703404019226
48,888690,7.998085012045383
49,727243,7.760146375298995
50,888711,7.7115131111602775
