rank,docid,score
1,890622,-3.9331296496880057
2,890621,-3.9381843038582076
3,890612,-3.9383331668628707
4,890618,-3.938407569386157
5,890602,-3.9862402817595703
6,890613,-3.9877156789238657
7,890592,-3.9983826849854327
8,890570,-3.9991340669360778
9,890601,-4.069962033905024
10,890608,-4.136672069856916
11,890626,-4.136852716422886
12,890617,-4.137093339929632
13,890616,-4.137093339929632
14,890605,-4.137093339929632
15,890598,-4.292765565561587
16,890625,-4.292890301389968
17,890630,-4.292990012685837
18,889209,-7.800224741235871
19,889188,-7.809283020831428
20,889248,-7.810085658563828
21,889239,-7.815189580736418
22,889230,-7.8211147992775585
23,889223,-7.82141454963401
24,889205,-7.82141454963401
25,159469,-7.821714254806627
26,889221,-7.8222085597704
27,889213,-7.8222085597704
28,889194,-7.8222085597704
29,313798,-7.8222085597704
30,32984,-7.8222085597704
31,889229,-7.823694103097228
32,889216,-7.824934317108274
33,889210,-7.825528339180691
34,889201,-7.827793768382132
35,889217,-7.83220876398313
36,853949,-7.887734730687922
37,889234,-8.444171098021807
38,889197,-8.447122621621581
39,889240,-8.45612898214792
40,889193,-8.471570565666283
41,889242,-8.475966583404977
42,889237,-8.484109818653158
43,889249,-8.50683605210161
44,280911,-8.519381999005667
45,889219,-8.53363233160165
46,889182,-8.56681402187275
47,702192,-8.61052537191852
48,889246,-8.643428963364897
49,231387,-8.644419472811569
50,227716,-8.644968659791882
